Score,Track ID,Artist,Song,Genre,Release Date,Topic_1,Topic_2,Topic_3,Feature_1,Feature_2,Feature_3
35.18744441566493,13926,whitesnake,steal away,"[1188, 2340, 617, 363, 47, 1265, 1754]",1978,"(14, 0.4811028628001587)","(6, 0.2058426330299334)","(1, 0.1489122103830109)","(5, 0.7959604286892003)","(6, 0.729721288592797)","(2, 0.6085429325949285)"
35.17989587855274,1411,georgie fame,somebody stole my thunder,"[376, 363, 1752, 1079]",1969,"(1, 0.3682782916707087)","(7, 0.3140298095754282)","(15, 0.1242639406443946)","(5, 0.8093569661995054)","(2, 0.7218162705432914)","(6, 0.6856758689560675)"
35.130387515497425,2373,the knack,frustrated,"[617, 2220, 47]",1979,"(1, 0.4264322760045312)","(7, 0.1168023737638543)","(13, 0.0600713907407082)","(5, 0.9474443528441878)","(6, 0.8748709669411097)","(2, 0.6513345127297899)"
35.07139192074038,9245,molly hatchet,beatin' the odds,"[706, 2340, 617, 303, 47, 1265, 2511, 2547]",1980,"(8, 0.4157948092340023)","(7, 0.2249354263422299)","(1, 0.1287190887926137)","(6, 0.8528482571227448)","(5, 0.7650453421269579)","(2, 0.6480783529472092)"
34.95185550558935,14255,bad company,nuthin' on the tv,"[706, 1731, 2340, 617, 303, 47, 1265, 2511]",1982,"(8, 0.5145974982596424)","(7, 0.2148808296324544)","(1, 0.123736012999395)","(5, 0.7712283594394065)","(2, 0.7286362587493269)","(6, 0.6376263202614536)"
34.89292407954679,2892,r.e.m.,9-9,"[2340, 2117, 617, 2188, 60]",1983,"(1, 0.5533730277360893)","(10, 0.1928197364554855)","(3, 0.1554720087135653)","(5, 0.8217230008244022)","(6, 0.7807739340808241)","(2, 0.5845704176601798)"
34.89292407954679,14359,blackfoot,run for cover,"[706, 1891, 2340, 617, 303, 47, 1265, 2547]",1983,"(1, 0.4529697859368269)","(11, 0.1874408123122909)","(8, 0.0971590494070973)","(6, 0.7597522565269305)","(5, 0.7578318219291014)","(2, 0.6216444888854703)"
34.89292407954679,24743,iron maiden,die with your boots on,"[2340, 2030, 47, 1265, 1754]",1983,"(1, 0.3385119032882516)","(10, 0.1970406364274909)","(11, 0.010062390537318)","(6, 0.9479463222475016)","(2, 0.7853498448837268)","(5, 0.5290601813685079)"
34.83534360945853,24782,david gilmour,murder,"[2340, 617, 2667, 303, 47, 124, 2239]",1984,"(1, 0.3810144968868759)","(2, 0.2048576901914779)","(11, 0.186907918205801)","(2, 0.6339512345204215)","(6, 0.5655519972195326)","(5, 0.2858615004122011)"
34.77954031142421,24850,the hooters,all you zombies,"[2511, 1731, 2125, 47]",1985,"(14, 0.319663704480616)","(10, 0.2004558438342388)","(11, 0.1551549782940652)","(6, 0.7607532887914016)","(2, 0.7267902469040842)","(5, 0.5723413025556471)"
34.77954031142421,24904,night ranger,goodbye,"[1731, 1188, 2340, 617, 47, 2511, 1265]",1985,"(2, 0.3092108991005977)","(10, 0.2340730396359945)","(6, 0.2016955251423836)","(5, 0.6331409727947238)","(2, 0.5659308258339102)","(6, 0.4824663192684295)"
34.72583194147707,24960,cinderella,nothin' for nothin',"[1188, 2340, 47, 1265, 1754]",1986,"(8, 0.703100845313627)","(1, 0.0811159683483875)","(13, 0.0704618924776813)","(6, 0.8118059342794288)","(5, 0.7835943940643034)","(2, 0.5957234058918544)"
34.674445811684166,18835,yes,"shoot high, aim low","[1540, 2340, 617, 2667, 47, 1265, 124, 2239]",1987,"(1, 0.382887133293197)","(11, 0.2984548114783936)","(10, 0.1774907631679364)","(6, 0.6756655463113562)","(2, 0.6557700689690535)","(5, 0.4363149216817807)"
34.625534163341754,14742,the georgia satellites,hand to mouth,"[706, 2340, 617, 303, 47, 1265, 2547, 2262]",1988,"(1, 0.362954587926564)","(7, 0.2037784304966577)","(8, 0.1266992866860926)","(5, 0.7207337180544104)","(6, 0.6626521268732316)","(2, 0.6244391457067404)"
34.57918735057182,25167,tesla,the way it is,"[2403, 1188, 2340, 617, 47, 1265]",1989,"(2, 0.3355068034463369)","(4, 0.2803174692641467)","(15, 0.1866159577183205)","(6, 0.8258203859820246)","(2, 0.7294567084583237)","(5, 0.5342126957955482)"
34.57918735057182,25176,the stone roses,bye bye bad man,"[385, 1690, 1819, 2340]",1989,"(1, 0.6712840859601188)","(9, 0.0861535273077307)","(6, 0.0808711508788504)","(5, 0.8814921681780709)","(6, 0.7437357402953926)","(2, 0.7282260338948285)"
34.3257196833066,25690,screaming trees,all i know,"[56, 1233, 60, 2340]",1996,"(14, 0.3713736066436735)","(7, 0.3553021001218558)","(1, 0.1925833173438331)","(6, 0.9139112252554832)","(2, 0.7653257441735251)","(5, 0.440436933223413)"
34.273886491818374,25867,jerry cantrell,cut you in,"[56, 1233, 60, 2340]",1998,"(1, 0.3317348900647057)","(7, 0.2616424340163785)","(14, 0.2481824216000717)","(6, 0.7437357402953926)","(2, 0.7402507499423121)","(5, 0.7238252267106347)"
34.21008186805176,15480,alice cooper,"sex, death and money","[1188, 2340, 1190, 2246, 617, 303, 47, 1265, 1754]",2001,"(1, 0.3339171800022278)","(10, 0.1917678855097941)","(8, 0.1721226294624147)","(6, 0.8658616765608694)","(2, 0.7217906314898853)","(5, 0.6960016488046167)"
34.21008186805176,26051,creed,stand here with me,"[706, 2340, 2372, 617, 47, 2547, 2614]",2001,"(2, 0.5623602991132126)","(9, 0.1973714396834511)","(1, 0.1611699351137136)","(6, 0.9339318705449058)","(2, 0.799733353844576)","(5, 0.3827287716405606)"
34.160326769940355,26312,alter bridge,open your eyes,"[56, 2017, 2340, 2208]",2004,"(14, 0.6565968528768894)","(2, 0.2915888033161343)","(1, 0.0375413727429728)","(6, 0.9049019348752432)","(2, 0.8129374663487423)","(5, 0.3332646331409728)"
34.121866713205435,11645,leann rimes,nothin’ better to do,"[698, 747, 2188, 701]",2007,"(8, 0.6489593650079689)","(10, 0.0940705740174222)","(1, 0.0795918189406239)","(6, 0.911909160726541)","(2, 0.8201676794092762)","(5, 0.4445589447650453)"
34.10131727134713,11788,zac brown band,the devil went down to georgia,"[681, 698, 705, 1806]",2009,"(10, 0.346318347154911)","(1, 0.3437178139887056)","(8, 0.1619010684268576)","(6, 0.9919917418842308)","(2, 0.7969899751301182)","(5, 0.2920445177246496)"
34.10131727134713,16191,pat travers,black betty,"[706, 2340, 617, 303, 47, 1265, 2547, 955]",2009,"(1, 0.3690625202473148)","(4, 0.2748028541704669)","(8, 0.1077553384624826)","(5, 0.7454657873042043)","(6, 0.7427347080309215)","(2, 0.6958439094428632)"
34.10131727134713,26622,blackberry smoke,good one comin' on,"[706, 2547, 2340, 1822]",2009,"(8, 0.327582965613865)","(15, 0.2397688010938638)","(3, 0.1262210585151115)","(2, 0.7829910519703611)","(6, 0.763756385584815)","(5, 0.4084913437757625)"
34.057831759568806,12172,a thousand horses,smoke,"[681, 705, 1806, 703]",2015,"(8, 0.3663532532827106)","(10, 0.3310452713621652)","(1, 0.1309729430625876)","(6, 0.788782192196593)","(2, 0.7729918211419634)","(5, 0.4167353668590272)"
34.04788750515894,28009,black rob,b.l.a.c.k.,"[1272, 1268, 1292, 1295]",2017,"(8, 0.4047377055744055)","(10, 0.3140764525399106)","(1, 0.1643218460342524)","(2, 0.73573827654283)","(5, 0.6619950535861499)","(6, 0.6386273525259247)"
34.04356441631164,27359,i dont know how but they found me,choke,"[1801, 1819, 2340, 1367]",2018,"(1, 0.4209805400068179)","(4, 0.1688859954790814)","(13, 0.1203757059597123)","(6, 0.8508461925938026)","(2, 0.8139886675383944)","(5, 0.5764633140972794)"
34.03962498508905,12437,tracy lawrence,chicken wire,"[681, 698, 705, 118]",2019,"(8, 0.3972142206272009)","(10, 0.3007832506803426)","(1, 0.193097182152004)","(6, 0.9289267092225502)","(2, 0.863728431146322)","(5, 0.7835943940643034)"
34.03962498508905,27405,yungblud,loner,"[1801, 1819, 2340, 374]",2019,"(1, 0.3679845366685134)","(7, 0.1055624390848654)","(2, 0.0931979135287572)","(6, 0.9489473545119728)","(2, 0.8378329872061123)","(5, 0.4651690024732069)"
34.03962498508905,28354,cassidy,a.m. to p.m.,"[1057, 20, 1662, 2908]",2019,"(8, 0.3732875659276599)","(10, 0.1721519496860165)","(1, 0.0806293864149178)","(2, 0.7474553239494397)","(6, 0.7317233531217391)","(5, 0.6537510305028852)"
33.18744441566493,24301,jim morrison,a feast of friends,"[617, 2257, 2340]",1978,"(1, 0.3948800719023903)","(10, 0.193459355259971)","(11, 0.1643358642122311)","(3, 0.6716864173558409)","(2, 0.484449914109171)","(6, 0.2582350920268981)"
33.07139192074038,24409,girlschool,race with the devil,"[1265, 1754, 2340, 2030]",1980,"(7, 0.4999573033615212)","(1, 0.4627619939784264)","(8, 0.0021929825868091)","(6, 0.8828792250568785)","(2, 0.7362254185575468)","(4, 0.6791497975708501)"
32.625534163341754,25120,danzig,possession,"[56, 1265, 1754, 2340]",1988,"(1, 0.3305473607089416)","(10, 0.2932034776689751)","(14, 0.1465113050028516)","(6, 0.730722320857268)","(2, 0.6548214239930261)","(1, 0.4086429112964367)"
32.45573790924981,25467,damn yankees,don't tread on me,"[1188, 2340, 617, 47, 1265]",1992,"(14, 0.310076930186589)","(7, 0.1911719286266095)","(11, 0.178051363300486)","(6, 0.9149122575199544)","(2, 0.7965797502756198)","(1, 0.4833748510776563)"
32.3799682611817,1773,wings,big barn bed,"[1731, 1060, 2340, 617, 47, 2511, 251, 124]",1973,"(3, 0.5123135321790323)","(10, 0.2660409717448619)","(15, 0.1282711658578079)","(5, 0.8309975267930749)","(2, 0.6388995718278081)","(6, 0.5695561262774171)"
32.3799682611817,18068,"emerson, lake & palmer",benny the bouncer,"[1540, 2340, 617, 2667, 47, 1265, 2257, 124, 2239]",1973,"(10, 0.418727870904215)","(1, 0.3882136858357486)","(12, 0.0756272233314466)","(5, 0.9402308326463312)","(6, 0.7046954819810188)","(2, 0.6526677435069097)"
32.3799682611817,23989,elton john,the ballad of danny bailey (1909-1934),"[2134, 1731, 1190, 2511]",1973,"(1, 0.3876730955694868)","(7, 0.1670933140027821)","(10, 0.1456550924838489)","(2, 0.6669230572007281)","(5, 0.6650865622423743)","(6, 0.6616510946087604)"
32.3799682611817,24029,black sabbath,a national acrobat,"[2340, 617, 2591, 47, 1265, 2802, 1754, 287]",1973,"(2, 0.5353635775719965)","(7, 0.1976899734624158)","(1, 0.1825108655312591)","(6, 0.6286170298812135)","(2, 0.5839294413250262)","(5, 0.5661582852431986)"
32.379041979937945,8463,waylon jennings,suspicious minds (with jessi colter),"[706, 698, 2709, 2094]",1972,"(8, 0.4738188305159144)","(3, 0.0695092609047459)","(10, 0.0519707547415551)","(5, 0.7640148392415499)","(2, 0.6260287670179217)","(6, 0.5965839974181375)"
